DENOMINACIÓN,DESCRIPCIÓN DEL PRODUCTO OFERTADO,descripcion_completa,tamano_id
"INTRODUCTOR DE CATETER PERCUTANEO DOBLE LUMEN 1,9 FR",INTRODUCTOR PICC PEEL-AWAY,"introductor de cateter percutaneo doble lumen 1,9 fr introductor picc peel-away",0
AGUJA GRIPPER N° 20 G X 16 MM.,Surecan con alas G20 Y-site x 20 mm,aguja gripper n° 20 g x 16 mm. surecan con alas g20 y-site x 20 mm,0
AGUJA GRIPPER N° 22 G X 19 MM.,Surecan con alas G22 Y-site x 20 mm,aguja gripper n° 22 g x 19 mm. surecan con alas g22 y-site x 20 mm,0
"CATETER INTRAVENOSO DE POLIURETANO 22 G 0,9 X 25 MM. CON SISTEMA DE SEGURIDAD PASIVO","INTROCAN SAFETY PUR G22 x 1"" (25 mm.)","cateter intravenoso de poliuretano 22 g 0,9 x 25 mm. con sistema de seguridad pasivo introcan safety pur g22 x 1"" (25 mm.)",0
"CATETER INTRAVENOSO DE POLIURETANO 24 G X  3/4"" (0,7 X 19 MM) CON SISTEMA DE SEGURIDAD PASIVO","INTROCAN SAFETY PUR G24 x 3/4"" (19 mm.)","cateter intravenoso de poliuretano 24 g x  3/4"" (0,7 x 19 mm) con sistema de seguridad pasivo introcan safety pur g24 x 3/4"" (19 mm.)",0
AGUJA MULTIPLE EXTRACCION SANGRE PARA MUESTRA AL VACIO CON VISOR REFLUJO 21 X 1 MM.,Aguja de colecta múltiple 21 G X 1 MM,aguja multiple extraccion sangre para muestra al vacio con visor reflujo 21 x 1 mm. aguja de colecta múltiple 21 g x 1 mm,0
"AGUJA MULTIPLE EXTRACCION SANGRE PARA MUESTRA AL VACIO CON VISOR REFLUJO 21 X 1,5 MM.","Aguja de colecta múltiple 21 G X 1,5 MM","aguja multiple extraccion sangre para muestra al vacio con visor reflujo 21 x 1,5 mm. aguja de colecta múltiple 21 g x 1,5 mm",0
AGUJA MULTIPLE EXTRACCION SANGRE PARA MUESTRA AL VACIO SIN VISOR 21 G X 25 MM,Aguja de colecta múltiple 22 G X 25 MM,aguja multiple extraccion sangre para muestra al vacio sin visor 21 g x 25 mm aguja de colecta múltiple 22 g x 25 mm,0
"CATETER DE INFUSION INTRAVENOSA TIPO MARIPOSA  CON ADAPTADOR LUER 21G X 3/4"" (PARA TOMA DE MUESTRAS AL VACIO)","Mariposa BD Safety Lok 21 G X 3/4"", tubuladura de 7"", que posee aguja con dispositivo de seguridad integrado, lo cual permite reducir el riesgo de accidentes cortopunzantes. Adaptador Luer en extremo distal para extracción múltiple","cateter de infusion intravenosa tipo mariposa  con adaptador luer 21g x 3/4"" (para toma de muestras al vacio) mariposa bd safety lok 21 g x 3/4"", tubuladura de 7"", que posee aguja con dispositivo de seguridad integrado, lo cual permite reducir el riesgo de accidentes cortopunzantes. adaptador luer en extremo distal para extracción múltiple",0
"CATETER DE INFUSION INTRAVENOSA TIPO MARIPOSA  CON ADAPTADOR LUER 23G X 3/4"" (PARA TOMA DE MUESTRAS AL VACIO)","Mariposa BD Safety Lok 23 G X 3/4"", tubuladura de 7"", que posee aguja con dispositivo de seguridad integrado, lo cual permite reducir el riesgo de accidentes cortopunzantes. Adaptador Luer en extremo distal para extracción múltiple","cateter de infusion intravenosa tipo mariposa  con adaptador luer 23g x 3/4"" (para toma de muestras al vacio) mariposa bd safety lok 23 g x 3/4"", tubuladura de 7"", que posee aguja con dispositivo de seguridad integrado, lo cual permite reducir el riesgo de accidentes cortopunzantes. adaptador luer en extremo distal para extracción múltiple",0
"CATETER INTRAVENOSO 16G 1,7 X 30 MM. CON SISTEMA DE SEGURIDAD RETRACTIL","CATETER INTRAVENOSO DE VIALON 16G  1,7 X 30 MM. CON SISTEMA DE SEGURIDAD RETRACTIL, INSYTE AUTOGUARD, CODIGO 381854","cateter intravenoso 16g 1,7 x 30 mm. con sistema de seguridad retractil cateter intravenoso de vialon 16g  1,7 x 30 mm. con sistema de seguridad retractil, insyte autoguard, codigo 381854",0
"CATETER INTRAVENOSO 20G 1,1 X 30 MM. CON SISTEMA DE SEGURIDAD  RETRACTIL (BD REF 381834)","CATETER INTRAVENOSO DE VIALON 20G 1,1 X 30 MM. CON SISTEMA DE SEGURIDAD RETRACTIL, INSYTE AUTOGUARD, CODIGO 381834","cateter intravenoso 20g 1,1 x 30 mm. con sistema de seguridad  retractil (bd ref 381834) cateter intravenoso de vialon 20g 1,1 x 30 mm. con sistema de seguridad retractil, insyte autoguard, codigo 381834",0
"CATETER INTRAVENOSO DE POLIURETANO 22 G 0,9 X 25 MM. CON SISTEMA DE SEGURIDAD RETRACTIL","CATETER INTRAVENOSO DE BIOSEGURIDAD DE VIALON, 22 G X 1"" (0,9 X 25 MM) CON SISTEMA DE SEGURIDAD, BD INSYTE AUTOGUARD, CODIGO 381823","cateter intravenoso de poliuretano 22 g 0,9 x 25 mm. con sistema de seguridad retractil cateter intravenoso de bioseguridad de vialon, 22 g x 1"" (0,9 x 25 mm) con sistema de seguridad, bd insyte autoguard, codigo 381823",0
"CATETER INTRAVENOSO DE POLIURETANO 24 G X  3/4"" (0,7 X 19 MM) CON SISTEMA DE SEGURIDAD RETRACTIL","CATETER INTRAVENOSO DE POLIURETANO, VIALON, 24 G X  3/4"" (0,7 X 19 MM) CON SISTEMA DE SEGURIDAD RETRACTIL, BD INSYTE AUTOGUARD, CODIGO 381812","cateter intravenoso de poliuretano 24 g x  3/4"" (0,7 x 19 mm) con sistema de seguridad retractil cateter intravenoso de poliuretano, vialon, 24 g x  3/4"" (0,7 x 19 mm) con sistema de seguridad retractil, bd insyte autoguard, codigo 381812",0
CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 18 G X 1 ,"CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 18 G X 1, 25"", INCLUYE 2 CONECTORES LIBRE DE AGUJA, BD NEXIVA, CODIGO 383539","cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 18 g x 1  cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 18 g x 1, 25"", incluye 2 conectores libre de aguja, bd nexiva, codigo 383539",0
CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 20 G X 1 ,"CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 20G X 1, INCLUYE 2 CONECTORES LIBRE DE AGUJA, BD NEXIVA, CODIGO 383536","cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 20 g x 1  cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 20g x 1, incluye 2 conectores libre de aguja, bd nexiva, codigo 383536",0
CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 22 G X 1,"CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 22G X 1"", INCLUYE 2 CONECTORES LIBRE DE AGUJA, BD NEXIVA, CODIGO 383532","cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 22 g x 1 cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 22g x 1"", incluye 2 conectores libre de aguja, bd nexiva, codigo 383532",0
"CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 24 G X 0,75","CATETER INTRAVENOSO INTEGRADO CON ALARGADOR CON SISTEMA BIOSEGURIDAD Y ADAPTADOR EN Y Nº 24G X 0,75"", INCLUYE 2 CONECTORES LIBRE DE AGUJA, BD NEXIVA, CODIGO 383531","cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 24 g x 0,75 cateter intravenoso integrado con alargador con sistema bioseguridad y adaptador en y nº 24g x 0,75"", incluye 2 conectores libre de aguja, bd nexiva, codigo 383531",0
AGUJA DE BIOPSIA 16 G X 15 CM (TEMNO CAREFUSION REF. T1615),"AGUJA BIOPSIA SEMIAUTOMÁTICA TEMNO EVOLUTION CON DOS TAMAÑOS DE  MUESCA AGUJA PUNTA TROCAR, DISEÑO LIGERO Y PARA USO DE UNA MANO. EN MEDIDAS DE 14-16-18-20 G Y LARGOS DE AGUJA DE: 11-15-20 CM. MARCA MERIT MEDICAL","aguja de biopsia 16 g x 15 cm (temno carefusion ref. t1615) aguja biopsia semiautomática temno evolution con dos tamaños de  muesca aguja punta trocar, diseño ligero y para uso de una mano. en medidas de 14-16-18-20 g y largos de aguja de: 11-15-20 cm. marca merit medical",0
"CATETER DE INFUSION INTRAVENOSA TIPO MARIPOSA 19 G X 3/4""",MARIPOSAS 19 G X ¾,"cateter de infusion intravenosa tipo mariposa 19 g x 3/4"" mariposas 19 g x ¾",0
"CATETER DE INFUSION INTRAVENOSA TIPO MARIPOSA 21 G X 3/4""",MARIPOSAS 21 G X ¾,"cateter de infusion intravenosa tipo mariposa 21 g x 3/4"" mariposas 21 g x ¾",0
"CATETER DE INFUSION INTRAVENOSA TIPO MARIPOSA 25 G X 3/4""",MARIPOSAS 25 G X ¾,"cateter de infusion intravenosa tipo mariposa 25 g x 3/4"" mariposas 25 g x ¾",0
"CATETER DE INFUSION INTRAVENOSA TIPO MARIPOSA 27 G X 3/4""",MARIPOSAS 19 G X ¾,"cateter de infusion intravenosa tipo mariposa 27 g x 3/4"" mariposas 19 g x ¾",0
AGUJA MULTIPLE EXTRACCION SANGRE PARA MUESTRA AL VACIO CON VISOR REFLUJO 21 G X 25 MM,144,aguja multiple extraccion sangre para muestra al vacio con visor reflujo 21 g x 25 mm 144,0
"CATETER INTRAVENOSO 18G 1,3 X 30 MM. CON SISTEMA DE SEGUIRIDAD RETRACTIL",347,"cateter intravenoso 18g 1,3 x 30 mm. con sistema de seguiridad retractil 347",0
"CATETER INTRAVENOSO DE POLIURETANO CON ALAS 22 G 0,9 X 25 MM. CON SISTEMA DE SEGURIDAD RETRACTIL",781,"cateter intravenoso de poliuretano con alas 22 g 0,9 x 25 mm. con sistema de seguridad retractil 781",0
"AGUJA HIPODERMICA DESECHABLE 21 G X 1 1/2"" CONO LUER  ENVASE INDIVIDUAL ESTERIL",136004 BD PRECISION GLIDE AGUJA HIPODERMICA DESECHABLE 21GX1 1/2  300340 BD MEDICAL,"aguja hipodermica desechable 21 g x 1 1/2"" cono luer  envase individual esteril 136004 bd precision glide aguja hipodermica desechable 21gx1 1/2  300340 bd medical",0
"AGUJA HIPODERMICA DESECHABLE 21 G X 1"" CONO LUER ENVASE INDIVIDUAL ESTERIL",136014 BD PRECISION GLIDE AGUJA HIPODERMICA DESECHABLE 21GX1 300054 BD MEDICAL,"aguja hipodermica desechable 21 g x 1"" cono luer envase individual esteril 136014 bd precision glide aguja hipodermica desechable 21gx1 300054 bd medical",0
"AGUJA HIPODERMICA DESECHABLE 23 G X 1"" CONO LUER  ENVASE INDIVIDUAL ESTERIL",136016 BD PRECISION GLIDE AGUJA HIPODERMICA DESECHABLE 23GX1 300388 BD MEDICAL,"aguja hipodermica desechable 23 g x 1"" cono luer  envase individual esteril 136016 bd precision glide aguja hipodermica desechable 23gx1 300388 bd medical",0
"AGUJA HIPODERMICA DESECHABLE 25 G X 5/8"" CONO LUER  ENVASE INDIVIDUAL ESTERIL",761019 MUNCARE AGUJA HIPODERMICA  ESTERIL 25G X 5/8 LP  YANGZHOU MEDLINE,"aguja hipodermica desechable 25 g x 5/8"" cono luer  envase individual esteril 761019 muncare aguja hipodermica  esteril 25g x 5/8 lp  yangzhou medline",0
"AGUJA HIPODERMICA DESECHABLE 30 G X 1/2"" CONO LUER ENVASE INVIVIDUAL ESTERIL",706095 BD PRECISION GLIDE AGUJA HIPODERMICA DESECHABLE 30Gx1/2  990193 BD MEDICAL,"aguja hipodermica desechable 30 g x 1/2"" cono luer envase invividual esteril 706095 bd precision glide aguja hipodermica desechable 30gx1/2  990193 bd medical",0
"CATETER INTRAVENOSO 14G 2,1x 45 MM. CON SISTEMA DE SEGURIDAD ",276430 BD INSYTE AUTOGUARD CATETER I.V.SEGURIDAD NARANJA 14GA X 1.75 (R:381867) X50 BD MEDICAL,"cateter intravenoso 14g 2,1x 45 mm. con sistema de seguridad  276430 bd insyte autoguard cateter i.v.seguridad naranja 14ga x 1.75 (r:381867) x50 bd medical",0
JERINGA DESECHABLE 20 CC CON CONEXIÓN ENFIT/PRO ,Jeringa Danumed Enfit 20 ml,jeringa desechable 20 cc con conexión enfit/pro  jeringa danumed enfit 20 ml,0
JERINGA DESECHABLE 60 ML CON CONEXION ENFIT/PRO NEO  ,Jeringa Danumed Enfit 60ml,jeringa desechable 60 ml con conexion enfit/pro neo   jeringa danumed enfit 60ml,0
JERINGA HEPARINIZADA 1 CC TOMA GASES,"Jeringa de polipropileno de alta densidad, con heparina de litio pulverizada, calcio balanceada de 1 ml","jeringa heparinizada 1 cc toma gases jeringa de polipropileno de alta densidad, con heparina de litio pulverizada, calcio balanceada de 1 ml",0
JERINGA HEPARINIZADA 3 CC TOMA GASES,"Jeringa de polipropileno de alta densidad, con heparina de litio pulverizada, calcio balanceada de 3 ml","jeringa heparinizada 3 cc toma gases jeringa de polipropileno de alta densidad, con heparina de litio pulverizada, calcio balanceada de 3 ml",0
JERINGA INSULINA 0.5 CC. X 13 MM.(30 G) (CODIGO BD .326760),"Jeringa de Insulina BD Ultra Fine 50UI con aguja fija 31GX6 MM , libre de látex , envase blister","jeringa insulina 0.5 cc. x 13 mm.(30 g) (codigo bd .326760) jeringa de insulina bd ultra fine 50ui con aguja fija 31gx6 mm , libre de látex , envase blister",0
"JERINGA INSULINA 100 UI CON AGUJA 0.5"" 1 CC (CODIGO BD  326709)","Jeringa de Insulina BD Ultra Fine 100UI con agujafija  31GX6 MM , libre de látex , envase blister","jeringa insulina 100 ui con aguja 0.5"" 1 cc (codigo bd  326709) jeringa de insulina bd ultra fine 100ui con agujafija  31gx6 mm , libre de látex , envase blister",0
"JERINGA INSULINA 30 UI CON AGUJA 0,3 ML (BD ULTRAFINE II REF. BD 328322)","Jeringa de Insulina BD Ultra Fine 30UI con aguja fija 31GX6 MM , libre de látex ","jeringa insulina 30 ui con aguja 0,3 ml (bd ultrafine ii ref. bd 328322) jeringa de insulina bd ultra fine 30ui con aguja fija 31gx6 mm , libre de látex ",0
JERINGA INSULINA 50 UI CON AGUJA 0.5 ML. (BD ULTRAFINE II REF 328325),"Jeringa de Insulina BD UltraFine 50UI con aguja fija31GX6MM , libre de látex","jeringa insulina 50 ui con aguja 0.5 ml. (bd ultrafine ii ref 328325) jeringa de insulina bd ultrafine 50ui con aguja fija31gx6mm , libre de látex",0
"JERINGA DE BAJA RESISTENCIA  LIBRE DE LATEX DE 10 CC. (PERIFIX LOR, BRAUN)",jeringa baja resistencia 10 ml,"jeringa de baja resistencia  libre de latex de 10 cc. (perifix lor, braun) jeringa baja resistencia 10 ml",0
"JERINGA DESECHABLE PARA TUBERCULINA 1 CC CON AGUJA INTERCAMBIABLE 26-27 G X 1/2""",JERINGA DE TUBERCULINA 1CC CON AGUJA 26G X 5/8 CJAX100,"jeringa desechable para tuberculina 1 cc con aguja intercambiable 26-27 g x 1/2"" jeringa de tuberculina 1cc con aguja 26g x 5/8 cjax100",0
JERINGA DESECHABLE 50-60 ML PUNTA LUER SLIP EXCENTRICA ENVASE INDIVIDUAL ESTERIL CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,JERINGA DESECHABLE 50-60 ML PUNTA LUER SLIP EXCENTRICA ENVASE INDIVIDUAL ESTERIL CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,jeringa desechable 50-60 ml punta luer slip excentrica envase individual esteril con sello que asegure inviolabilidad del contenido jeringa desechable 50-60 ml punta luer slip excentrica envase individual esteril con sello que asegure inviolabilidad del contenido,0
"JERINGA DESECHABLE 10 CC CON AGUJA 21 G X 1.5"" PUNTA LUER-LOCK C/TOPE GOMA","Jeringa 10cc con aguja 21Gx1½, Luer Lock                                    ","jeringa desechable 10 cc con aguja 21 g x 1.5"" punta luer-lock c/tope goma jeringa 10cc con aguja 21gx1½, luer lock                                    ",0
"JERINGA DESECHABLE 20 CC CON AGUJA 21 G X 1.5"" PUNTA LUER SLEP CON TOPE GOMA","Jeringa 20cc con aguja 21Gx1½, Luer Slip                              ","jeringa desechable 20 cc con aguja 21 g x 1.5"" punta luer slep con tope goma jeringa 20cc con aguja 21gx1½, luer slip                              ",0
"JERINGA DESECHABLE 20 CC CON TOPE GOMA PUNTA LUER-LOCK  C/AGUJA 21 G X 1.5"" ","Jeringa 20cc con aguja 21Gx1½, Luer Lock     ","jeringa desechable 20 cc con tope goma punta luer-lock  c/aguja 21 g x 1.5""  jeringa 20cc con aguja 21gx1½, luer lock     ",0
JERINGA DESECHABLE 20 CC PUNTA LUER SLIP PUNTA EXCENTRICA,Jeringa 20cc  punta excentrica Sin Aguja Luer Slip ,jeringa desechable 20 cc punta luer slip punta excentrica jeringa 20cc  punta excentrica sin aguja luer slip ,0
"JERINGA DESECHABLE 2-3 CC CON AGUJA 23 G X 1.0"" PUNTA LUER-LOCK C/TOPE","Jeringa 3cc con aguja 23Gx1, Luer Lock  ","jeringa desechable 2-3 cc con aguja 23 g x 1.0"" punta luer-lock c/tope jeringa 3cc con aguja 23gx1, luer lock  ",0
"JERINGA DESECHABLE 3 CC CON AGUJA 21 G X 1.5"" PUNTA LUER LOCK CON TOPE GOMA","Jeringa 3cc con aguja 21Gx1½ , Luer Lock          ","jeringa desechable 3 cc con aguja 21 g x 1.5"" punta luer lock con tope goma jeringa 3cc con aguja 21gx1½ , luer lock          ",0
"JERINGA DESECHABLE 5 CC CON AGUJA 21 G X 1.5"" PUNTA LUER-LOCK C/TOPE GO","Jeringa 5cc con aguja 21Gx1½, Luer Lock    ","jeringa desechable 5 cc con aguja 21 g x 1.5"" punta luer-lock c/tope go jeringa 5cc con aguja 21gx1½, luer lock    ",0
JERINGA DESECHABLE 50 CC. CON PUNTA LUER LOCK.,Jeringa 50cc Pta. Central Luer Lock P/Aguja,jeringa desechable 50 cc. con punta luer lock. jeringa 50cc pta. central luer lock p/aguja,0
JERINGA DESECHABLE 50-60 CC. PUNTA CATETER,Jeringa 50cc Tipo. Catéter Punta Excentrica procedencia Indonesia sin conector azul,jeringa desechable 50-60 cc. punta cateter jeringa 50cc tipo. catéter punta excentrica procedencia indonesia sin conector azul,0
JERINGA DESECHABLE 50-60 CC. PUNTA LUER SLIP EXCENTRICA ,Jeringa 50cc Pta. Excéntrica Luer Slip P/ Aguja,jeringa desechable 50-60 cc. punta luer slip excentrica  jeringa 50cc pta. excéntrica luer slip p/ aguja,0
VALVULA DERIVATIVA SMALL DE PRESION BAJA PEDIATRICA (MEDTRONIC REF. 903Ax1),Valvula para Hidrocefalia Small o pediatrica presion BAJA esteril Libre de latex,valvula derivativa small de presion baja pediatrica (medtronic ref. 903ax1) valvula para hidrocefalia small o pediatrica presion baja esteril libre de latex,0
VALVULA DERIVATIVA SMALL DE PRESION MEDIA PEDIATRICA ,Valvula para hidrocefalia Small o Pediatrica Presion MEDIA esteril Libre de Latex,valvula derivativa small de presion media pediatrica  valvula para hidrocefalia small o pediatrica presion media esteril libre de latex,0
VALVULA DERIVATIVA ULTRA SMALL  PRESION MEDIA NEONATAL (MEDTRONIC REF 22011 M x 1),Valvula para hidrocefalia Ultra Small o Neonatal Presion MEDIA esteril Libre de latex,valvula derivativa ultra small  presion media neonatal (medtronic ref 22011 m x 1) valvula para hidrocefalia ultra small o neonatal presion media esteril libre de latex,0
